year,state,count_type,count
2018,Alaska,Overall Homeless,2016.0
2018,Alabama,Overall Homeless,3434.0
2018,Arkansas,Overall Homeless,2712.0
2018,Arizona,Overall Homeless,9865.0
2018,California,Overall Homeless,129972.0
2018,Colorado,Overall Homeless,10857.0
2018,Connecticut,Overall Homeless,3976.0
2018,DC,Overall Homeless,6904.0
2018,Delaware,Overall Homeless,1082.0
2018,Florida,Overall Homeless,31030.0
2018,Georgia,Overall Homeless,9499.0
2018,GU,Overall Homeless,854.0
2018,Hawaii,Overall Homeless,6530.0
2018,Iowa,Overall Homeless,2749.0
2018,Idaho,Overall Homeless,2012.0
2018,Illinois,Overall Homeless,10643.0
2018,Indiana,Overall Homeless,5258.0
2018,Kansas,Overall Homeless,2216.0
2018,Kentucky,Overall Homeless,3688.0
2018,Louisiana,Overall Homeless,3059.0
2018,Massachusetts,Overall Homeless,20068.0
2018,Maryland,Overall Homeless,7144.0
2018,Maine,Overall Homeless,2516.0
2018,Michigan,Overall Homeless,8351.0
2018,Minnesota,Overall Homeless,7243.0
2018,Missouri,Overall Homeless,5883.0
2018,MP,Overall Homeless,1044.0
2018,Mississippi,Overall Homeless,1352.0
2018,Montana,Overall Homeless,1405.0
2018,North Carolina,Overall Homeless,9268.0
2018,North Dakota,Overall Homeless,542.0
2018,Nebraska,Overall Homeless,2421.0
2018,New Hampshire,Overall Homeless,1450.0
2018,New Jersey,Overall Homeless,9398.0
2018,New Mexico,Overall Homeless,2551.0
2018,Nevada,Overall Homeless,7544.0
2018,New York,Overall Homeless,91897.0
2018,Ohio,Overall Homeless,10249.0
2018,Oklahoma,Overall Homeless,3871.0
2018,Oregon,Overall Homeless,14476.0
2018,Pennsylvania,Overall Homeless,13512.0
2018,PR,Overall Homeless,3182.0
2018,Rhode Island,Overall Homeless,1101.0
2018,South Carolina,Overall Homeless,3933.0
2018,South Dakota,Overall Homeless,1159.0
2018,Tennessee,Overall Homeless,7883.0
2018,Texas,Overall Homeless,25310.0
2018,Utah,Overall Homeless,2876.0
2018,Virginia,Overall Homeless,5975.0
2018,VI,Overall Homeless,486.0
2018,Vermont,Overall Homeless,1291.0
2018,Washington,Overall Homeless,22304.0
2018,Wisconsin,Overall Homeless,4907.0
2018,West Virginia,Overall Homeless,1243.0
2018,Wyoming,Overall Homeless,639.0
2018,Total,Overall Homeless,552830.0
2018,Alaska,Sheltered ES Homeless,1248.0
2018,Alabama,Sheltered ES Homeless,1519.0
2018,Arkansas,Sheltered ES Homeless,933.0
2018,Arizona,Sheltered ES Homeless,3615.0
2018,California,Sheltered ES Homeless,27475.0
2018,Colorado,Sheltered ES Homeless,4158.0
2018,Connecticut,Sheltered ES Homeless,2879.0
2018,DC,Sheltered ES Homeless,5095.0
2018,Delaware,Sheltered ES Homeless,702.0
2018,Florida,Sheltered ES Homeless,12089.0
2018,Georgia,Sheltered ES Homeless,3434.0
2018,GU,Sheltered ES Homeless,124.0
2018,Hawaii,Sheltered ES Homeless,1528.0
2018,Iowa,Sheltered ES Homeless,1481.0
2018,Idaho,Sheltered ES Homeless,954.0
2018,Illinois,Sheltered ES Homeless,6247.0
2018,Indiana,Sheltered ES Homeless,3370.0
2018,Kansas,Sheltered ES Homeless,1300.0
2018,Kentucky,Sheltered ES Homeless,2340.0
2018,Louisiana,Sheltered ES Homeless,1163.0
2018,Massachusetts,Sheltered ES Homeless,16855.0
2018,Maryland,Sheltered ES Homeless,3603.0
2018,Maine,Sheltered ES Homeless,1012.0
2018,Michigan,Sheltered ES Homeless,5499.0
2018,Minnesota,Sheltered ES Homeless,3855.0
2018,Missouri,Sheltered ES Homeless,3262.0
2018,MP,Sheltered ES Homeless,22.0
2018,Mississippi,Sheltered ES Homeless,404.0
2018,Montana,Sheltered ES Homeless,793.0
2018,North Carolina,Sheltered ES Homeless,5289.0
2018,North Dakota,Sheltered ES Homeless,339.0
2018,Nebraska,Sheltered ES Homeless,1736.0
2018,New Hampshire,Sheltered ES Homeless,812.0
2018,New Jersey,Sheltered ES Homeless,5805.0
2018,New Mexico,Sheltered ES Homeless,1368.0
2018,Nevada,Sheltered ES Homeless,2183.0
2018,New York,Sheltered ES Homeless,82370.0
2018,Ohio,Sheltered ES Homeless,7234.0
2018,Oklahoma,Sheltered ES Homeless,2077.0
2018,Oregon,Sheltered ES Homeless,3757.0
2018,Pennsylvania,Sheltered ES Homeless,7863.0
2018,PR,Sheltered ES Homeless,342.0
2018,Rhode Island,Sheltered ES Homeless,739.0
2018,South Carolina,Sheltered ES Homeless,1997.0
2018,South Dakota,Sheltered ES Homeless,707.0
2018,Tennessee,Sheltered ES Homeless,3547.0
2018,Texas,Sheltered ES Homeless,11307.0
2018,Utah,Sheltered ES Homeless,1946.0
2018,Virginia,Sheltered ES Homeless,4232.0
2018,VI,Sheltered ES Homeless,137.0
2018,Vermont,Sheltered ES Homeless,1029.0
2018,Washington,Sheltered ES Homeless,7652.0
2018,Wisconsin,Sheltered ES Homeless,3139.0
2018,West Virginia,Sheltered ES Homeless,870.0
2018,Wyoming,Sheltered ES Homeless,269.0
2018,Total,Sheltered ES Homeless,275705.0
2018,Alaska,Sheltered TH Homeless,459.0
2018,Alabama,Sheltered TH Homeless,865.0
2018,Arkansas,Sheltered TH Homeless,516.0
2018,Arizona,Sheltered TH Homeless,2144.0
2018,California,Sheltered TH Homeless,12737.0
2018,Colorado,Sheltered TH Homeless,2348.0
2018,Connecticut,Sheltered TH Homeless,516.0
2018,DC,Sheltered TH Homeless,1209.0
2018,Delaware,Sheltered TH Homeless,282.0
2018,Florida,Sheltered TH Homeless,5419.0
2018,Georgia,Sheltered TH Homeless,2466.0
2018,GU,Sheltered TH Homeless,3.0
2018,Hawaii,Sheltered TH Homeless,1527.0
2018,Iowa,Sheltered TH Homeless,1004.0
2018,Idaho,Sheltered TH Homeless,335.0
2018,Illinois,Sheltered TH Homeless,2381.0
2018,Indiana,Sheltered TH Homeless,1218.0
2018,Kansas,Sheltered TH Homeless,555.0
2018,Kentucky,Sheltered TH Homeless,480.0
2018,Louisiana,Sheltered TH Homeless,795.0
2018,Massachusetts,Sheltered TH Homeless,2148.0
2018,Maryland,Sheltered TH Homeless,1700.0
2018,Maine,Sheltered TH Homeless,1391.0
2018,Michigan,Sheltered TH Homeless,1881.0
2018,Minnesota,Sheltered TH Homeless,2251.0
2018,Missouri,Sheltered TH Homeless,1369.0
2018,MP,Sheltered TH Homeless,0.0
2018,Mississippi,Sheltered TH Homeless,327.0
2018,Montana,Sheltered TH Homeless,239.0
2018,North Carolina,Sheltered TH Homeless,1529.0
2018,North Dakota,Sheltered TH Homeless,155.0
2018,Nebraska,Sheltered TH Homeless,541.0
2018,New Hampshire,Sheltered TH Homeless,476.0
2018,New Jersey,Sheltered TH Homeless,1951.0
2018,New Mexico,Sheltered TH Homeless,387.0
2018,Nevada,Sheltered TH Homeless,921.0
2018,New York,Sheltered TH Homeless,5137.0
2018,Ohio,Sheltered TH Homeless,1608.0
2018,Oklahoma,Sheltered TH Homeless,586.0
2018,Oregon,Sheltered TH Homeless,1786.0
2018,Pennsylvania,Sheltered TH Homeless,3625.0
2018,PR,Sheltered TH Homeless,312.0
2018,Rhode Island,Sheltered TH Homeless,311.0
2018,South Carolina,Sheltered TH Homeless,577.0
2018,South Dakota,Sheltered TH Homeless,167.0
2018,Tennessee,Sheltered TH Homeless,1470.0
2018,Texas,Sheltered TH Homeless,3405.0
2018,Utah,Sheltered TH Homeless,510.0
2018,Virginia,Sheltered TH Homeless,810.0
2018,VI,Sheltered TH Homeless,42.0
2018,Vermont,Sheltered TH Homeless,180.0
2018,Washington,Sheltered TH Homeless,3990.0
2018,Wisconsin,Sheltered TH Homeless,1319.0
2018,West Virginia,Sheltered TH Homeless,180.0
2018,Wyoming,Sheltered TH Homeless,171.0
2018,Total,Sheltered TH Homeless,80711.0
2018,Alaska,Sheltered SH Homeless,0.0
2018,Alabama,Sheltered SH Homeless,40.0
2018,Arkansas,Sheltered SH Homeless,6.0
2018,Arizona,Sheltered SH Homeless,40.0
2018,California,Sheltered SH Homeless,217.0
2018,Colorado,Sheltered SH Homeless,22.0
2018,Connecticut,Sheltered SH Homeless,0.0
2018,DC,Sheltered SH Homeless,0.0
2018,Delaware,Sheltered SH Homeless,5.0
2018,Florida,Sheltered SH Homeless,129.0
2018,Georgia,Sheltered SH Homeless,0.0
2018,GU,Sheltered SH Homeless,0.0
2018,Hawaii,Sheltered SH Homeless,0.0
2018,Iowa,Sheltered SH Homeless,23.0
2018,Idaho,Sheltered SH Homeless,0.0
2018,Illinois,Sheltered SH Homeless,73.0
2018,Indiana,Sheltered SH Homeless,91.0
2018,Kansas,Sheltered SH Homeless,4.0
2018,Kentucky,Sheltered SH Homeless,0.0
2018,Louisiana,Sheltered SH Homeless,36.0
2018,Massachusetts,Sheltered SH Homeless,80.0
2018,Maryland,Sheltered SH Homeless,77.0
2018,Maine,Sheltered SH Homeless,15.0
2018,Michigan,Sheltered SH Homeless,72.0
2018,Minnesota,Sheltered SH Homeless,16.0
2018,Missouri,Sheltered SH Homeless,38.0
2018,MP,Sheltered SH Homeless,0.0
2018,Mississippi,Sheltered SH Homeless,0.0
2018,Montana,Sheltered SH Homeless,0.0
2018,North Carolina,Sheltered SH Homeless,0.0
2018,North Dakota,Sheltered SH Homeless,0.0
2018,Nebraska,Sheltered SH Homeless,0.0
2018,New Hampshire,Sheltered SH Homeless,8.0
2018,New Jersey,Sheltered SH Homeless,19.0
2018,New Mexico,Sheltered SH Homeless,0.0
2018,Nevada,Sheltered SH Homeless,201.0
2018,New York,Sheltered SH Homeless,96.0
2018,Ohio,Sheltered SH Homeless,92.0
2018,Oklahoma,Sheltered SH Homeless,17.0
2018,Oregon,Sheltered SH Homeless,8.0
2018,Pennsylvania,Sheltered SH Homeless,280.0
2018,PR,Sheltered SH Homeless,16.0
2018,Rhode Island,Sheltered SH Homeless,0.0
2018,South Carolina,Sheltered SH Homeless,15.0
2018,South Dakota,Sheltered SH Homeless,0.0
2018,Tennessee,Sheltered SH Homeless,11.0
2018,Texas,Sheltered SH Homeless,64.0
2018,Utah,Sheltered SH Homeless,0.0
2018,Virginia,Sheltered SH Homeless,18.0
2018,VI,Sheltered SH Homeless,0.0
2018,Vermont,Sheltered SH Homeless,0.0
2018,Washington,Sheltered SH Homeless,41.0
2018,Wisconsin,Sheltered SH Homeless,67.0
2018,West Virginia,Sheltered SH Homeless,10.0
2018,Wyoming,Sheltered SH Homeless,0.0
2018,Total,Sheltered SH Homeless,1947.0
2018,Alaska,Sheltered Total Homeless,1707.0
2018,Alabama,Sheltered Total Homeless,2424.0
2018,Arkansas,Sheltered Total Homeless,1455.0
2018,Arizona,Sheltered Total Homeless,5799.0
2018,California,Sheltered Total Homeless,40429.0
2018,Colorado,Sheltered Total Homeless,6528.0
2018,Connecticut,Sheltered Total Homeless,3395.0
2018,DC,Sheltered Total Homeless,6304.0
