state,count
Alaska,95.0
Alabama,96.0
Arkansas,97.0
Arizona,463.0
California,2265.0
Colorado,584.0
Connecticut,211.0
District of Columbia,246.0
Delaware,56.0
Florida,1412.0
Georgia,352.0
Guam,5.0
Hawaii,115.0
Iowa,83.0
Idaho,55.0
Illinois,600.0
Indiana,338.0
Kansas,157.0
Kentucky,241.0
Louisiana,209.0
Massachusetts,1321.0
Maryland,451.0
Maine,74.0
Michigan,840.0
Minnesota,469.0
Missouri,442.0
Northern Marina Islands,
Mississippi,24.0
Montana,75.0
North Carolina,433.0
North Dakota,45.0
Nebraska,245.0
New Hampshire,104.0
New Jersey,1861.0
New Mexico,72.0
Nevada,68.0
New York,9484.0
Ohio,708.0
Oklahoma,191.0
Oregon,375.0
Pennsylvania,923.0
Puerto Rico,39.0
Rhode Island,85.0
South Carolina,138.0
South Dakota,46.0
Tennessee,215.0
Texas,1171.0
Utah,120.0
Virginia,625.0
US Virgin Islands,4.0
Vermont,61.0
Washington,724.0
Wisconsin,406.0
West Virginia,55.0
Wyoming,12.0
Total,29586.0
