state,count
Alaska,218.0
Alabama,801.0
Arkansas,235.0
Arizona,736.0
California,17276.0
Colorado,1608.0
Connecticut,524.0
District of Columbia,667.0
Delaware,127.0
Florida,5780.0
Georgia,3336.0
Guam,3.0
Hawaii,223.0
Iowa,284.0
Idaho,131.0
Illinois,1286.0
Indiana,535.0
Kansas,313.0
Kentucky,1046.0
Louisiana,432.0
Massachusetts,1302.0
Maryland,541.0
Maine,89.0
Michigan,832.0
Minnesota,595.0
Missouri,377.0
Northern Marina Islands,
Mississippi,197.0
Montana,247.0
North Carolina,1096.0
North Dakota,78.0
Nebraska,144.0
New Hampshire,208.0
New Jersey,847.0
New Mexico,163.0
Nevada,1632.0
New York,4234.0
Ohio,1033.0
Oklahoma,354.0
Oregon,767.0
Pennsylvania,1101.0
Puerto Rico,157.0
Rhode Island,99.0
South Carolina,475.0
South Dakota,108.0
Tennessee,903.0
Texas,5982.0
Utah,218.0
Virginia,898.0
US Virgin Islands,19.0
Vermont,32.0
Washington,1330.0
Wisconsin,481.0
West Virginia,104.0
Wyoming,19.0
Total,62223.0
