state,count
Alaska,75.0
Alabama,245.0
Arkansas,81.0
Arizona,681.0
California,3682.0
Colorado,830.0
Connecticut,306.0
District of Columbia,410.0
Delaware,48.0
Florida,1422.0
Georgia,616.0
Guam,9.0
Hawaii,257.0
Iowa,424.0
Idaho,151.0
Illinois,1357.0
Indiana,470.0
Kansas,76.0
Kentucky,770.0
Louisiana,380.0
Massachusetts,799.0
Maryland,473.0
Maine,416.0
Michigan,677.0
Minnesota,785.0
Missouri,442.0
Northern Marina Islands,
Mississippi,50.0
Montana,84.0
North Carolina,438.0
North Dakota,28.0
Nebraska,335.0
New Hampshire,124.0
New Jersey,1002.0
New Mexico,154.0
Nevada,302.0
New York,1674.0
Ohio,756.0
Oklahoma,125.0
Oregon,1064.0
Pennsylvania,1644.0
Puerto Rico,23.0
Rhode Island,97.0
South Carolina,188.0
South Dakota,58.0
Tennessee,369.0
Texas,1673.0
Utah,263.0
Virginia,611.0
US Virgin Islands,1.0
Vermont,65.0
Washington,2089.0
Wisconsin,604.0
West Virginia,65.0
Wyoming,54.0
Total,29822.0
