state,count
Alaska,84.0
Alabama,473.0
Arkansas,401.0
Arizona,1874.0
California,34048.0
Colorado,633.0
Connecticut,297.0
District of Columbia,344.0
Delaware,27.0
Florida,6023.0
Georgia,1634.0
Guam,11.0
Hawaii,646.0
Iowa,52.0
Idaho,35.0
Illinois,1121.0
Indiana,447.0
Kansas,45.0
Kentucky,262.0
Louisiana,436.0
Massachusetts,522.0
Maryland,760.0
Maine,9.0
Michigan,1687.0
Minnesota,485.0
Missouri,323.0
Northern Marina Islands,
Mississippi,460.0
Montana,92.0
North Carolina,863.0
North Dakota,1.0
Nebraska,80.0
New Hampshire,140.0
New Jersey,301.0
New Mexico,466.0
Nevada,730.0
New York,3018.0
Ohio,579.0
Oklahoma,230.0
Oregon,1844.0
Pennsylvania,763.0
Puerto Rico,1891.0
Rhode Island,37.0
South Carolina,345.0
South Dakota,25.0
Tennessee,1926.0
Texas,5188.0
Utah,256.0
Virginia,711.0
US Virgin Islands,487.0
Vermont,119.0
Washington,1099.0
Wisconsin,207.0
West Virginia,123.0
Wyoming,37.0
Total,74697.0
