state,count
Alaska,1009.0
Alabama,1419.0
Arkansas,652.0
Arizona,4020.0
California,23081.0
Colorado,4895.0
Connecticut,2542.0
District of Columbia,3315.0
Delaware,583.0
Florida,10491.0
Georgia,4819.0
Guam,67.0
Hawaii,1050.0
Iowa,1180.0
Idaho,631.0
Illinois,5066.0
Indiana,3249.0
Kansas,1116.0
Kentucky,2645.0
Louisiana,1618.0
Massachusetts,9359.0
Maryland,4205.0
Maine,843.0
Michigan,5725.0
Minnesota,3479.0
Missouri,2894.0
Northern Marina Islands,
Mississippi,524.0
Montana,404.0
North Carolina,4873.0
North Dakota,487.0
Nebraska,1593.0
New Hampshire,892.0
New Jersey,7602.0
New Mexico,985.0
Nevada,1311.0
New York,46894.0
Ohio,6222.0
Oklahoma,2316.0
Oregon,2715.0
Pennsylvania,6954.0
Puerto Rico,551.0
Rhode Island,819.0
South Carolina,1577.0
South Dakota,371.0
Tennessee,4468.0
Texas,12672.0
Utah,2080.0
Virginia,4095.0
US Virgin Islands,40.0
Vermont,595.0
Washington,6714.0
Wisconsin,2789.0
West Virginia,793.0
Wyoming,185.0
Total,221474.0
