state,count
Alaska,989.0
Alabama,3031.0
Arkansas,1297.0
Arizona,4291.0
California,32417.0
Colorado,4576.0
Connecticut,2288.0
District of Columbia,3613.0
Delaware,729.0
Florida,13827.0
Georgia,5765.0
Guam,52.0
Hawaii,1009.0
Iowa,1524.0
Idaho,821.0
Illinois,5642.0
Indiana,2687.0
Kansas,1086.0
Kentucky,2765.0
Louisiana,2387.0
Massachusetts,6174.0
Maryland,4623.0
Maine,1092.0
Michigan,6019.0
Minnesota,2668.0
Missouri,2933.0
Northern Marina Islands,
Mississippi,655.0
Montana,481.0
North Carolina,5576.0
North Dakota,540.0
Nebraska,1747.0
New Hampshire,670.0
New Jersey,5005.0
New Mexico,1102.0
Nevada,6143.0
New York,21005.0
Ohio,6430.0
Oklahoma,2185.0
Oregon,3992.0
Pennsylvania,6191.0
Puerto Rico,1133.0
Rhode Island,1088.0
South Carolina,1945.0
South Dakota,381.0
Tennessee,5520.0
Texas,12943.0
Utah,1987.0
Virginia,3863.0
US Virgin Islands,35.0
Vermont,571.0
Washington,6639.0
Wisconsin,2733.0
West Virginia,848.0
Wyoming,282.0
Total,215995.0
