state,count
Alaska,222.0
Alabama,858.0
Arkansas,168.0
Arizona,1216.0
California,6799.0
Colorado,964.0
Connecticut,401.0
District of Columbia,613.0
Delaware,91.0
Florida,2907.0
Georgia,1373.0
Guam,3.0
Hawaii,234.0
Iowa,247.0
Idaho,194.0
Illinois,801.0
Indiana,586.0
Kansas,578.0
Kentucky,597.0
Louisiana,441.0
Massachusetts,1709.0
Maryland,698.0
Maine,119.0
Michigan,877.0
Minnesota,441.0
Missouri,569.0
Northern Marina Islands,
Mississippi,197.0
Montana,128.0
North Carolina,854.0
North Dakota,166.0
Nebraska,263.0
New Hampshire,150.0
New Jersey,542.0
New Mexico,226.0
Nevada,1329.0
New York,5047.0
Ohio,1185.0
Oklahoma,416.0
Oregon,672.0
Pennsylvania,1282.0
Puerto Rico,24.0
Rhode Island,113.0
South Carolina,439.0
South Dakota,138.0
Tennessee,839.0
Texas,2735.0
Utah,110.0
Virginia,782.0
US Virgin Islands,0.0
Vermont,52.0
Washington,1168.0
Wisconsin,575.0
West Virginia,177.0
Wyoming,95.0
Total,43409.0
