state,count
Alaska,277.0
Alabama,434.0
Arkansas,349.0
Arizona,1239.0
California,9021.0
Colorado,2935.0
Connecticut,482.0
District of Columbia,858.0
Delaware,116.0
Florida,6483.0
Georgia,1661.0
Guam,250.0
Hawaii,775.0
Iowa,472.0
Idaho,297.0
Illinois,1957.0
Indiana,758.0
Kansas,328.0
Kentucky,731.0
Louisiana,469.0
Massachusetts,3531.0
Maryland,1338.0
Maine,427.0
Michigan,1825.0
Minnesota,1265.0
Missouri,1330.0
Northern Marina Islands,
Mississippi,141.0
Montana,222.0
North Carolina,1460.0
North Dakota,60.0
Nebraska,433.0
New Hampshire,243.0
New Jersey,2556.0
New Mexico,430.0
Nevada,381.0
New York,11988.0
Ohio,1683.0
Oklahoma,469.0
Oregon,2623.0
Pennsylvania,2396.0
Puerto Rico,261.0
Rhode Island,137.0
South Carolina,527.0
South Dakota,123.0
Tennessee,910.0
Texas,4357.0
Utah,389.0
Virginia,1145.0
US Virgin Islands,22.0
Vermont,156.0
Washington,3040.0
Wisconsin,994.0
West Virginia,207.0
Wyoming,223.0
Total,77184.0
