state,count
Alaska,169.0
Alabama,362.0
Arkansas,267.0
Arizona,698.0
California,5727.0
Colorado,351.0
Connecticut,713.0
District of Columbia,1818.0
Delaware,53.0
Florida,3055.0
Georgia,1841.0
Guam,0.0
Hawaii,92.0
Iowa,248.0
Idaho,129.0
Illinois,1315.0
Indiana,425.0
Kansas,198.0
Kentucky,503.0
Louisiana,147.0
Massachusetts,1297.0
Maryland,767.0
Maine,187.0
Michigan,1119.0
Minnesota,941.0
Missouri,747.0
Northern Marina Islands,
Mississippi,125.0
Montana,76.0
North Carolina,845.0
North Dakota,63.0
Nebraska,361.0
New Hampshire,88.0
New Jersey,610.0
New Mexico,564.0
Nevada,184.0
New York,1629.0
Ohio,1213.0
Oklahoma,288.0
Oregon,665.0
Pennsylvania,794.0
Puerto Rico,218.0
Rhode Island,157.0
South Carolina,217.0
South Dakota,21.0
Tennessee,810.0
Texas,2634.0
Utah,217.0
Virginia,930.0
US Virgin Islands,4.0
Vermont,67.0
Washington,1159.0
Wisconsin,327.0
West Virginia,174.0
Wyoming,27.0
Total,37636.0
