state,count
Alaska,194.0
Alabama,384.0
Arkansas,328.0
Arizona,988.0
California,6940.0
Colorado,524.0
Connecticut,769.0
District of Columbia,2234.0
Delaware,53.0
Florida,3437.0
Georgia,2112.0
Guam,0.0
Hawaii,97.0
Iowa,284.0
Idaho,149.0
Illinois,1405.0
Indiana,425.0
Kansas,245.0
Kentucky,572.0
Louisiana,154.0
Massachusetts,1689.0
Maryland,862.0
Maine,187.0
Michigan,1235.0
Minnesota,1504.0
Missouri,884.0
Northern Marina Islands,
Mississippi,134.0
Montana,149.0
North Carolina,916.0
North Dakota,69.0
Nebraska,409.0
New Hampshire,143.0
New Jersey,788.0
New Mexico,658.0
Nevada,193.0
New York,1944.0
Ohio,1307.0
Oklahoma,399.0
Oregon,877.0
Pennsylvania,995.0
Puerto Rico,533.0
Rhode Island,157.0
South Carolina,219.0
South Dakota,21.0
Tennessee,886.0
Texas,3192.0
Utah,236.0
Virginia,986.0
US Virgin Islands,4.0
Vermont,87.0
Washington,1261.0
Wisconsin,405.0
West Virginia,184.0
Wyoming,27.0
Total,44834.0
