state,count
Alaska,703.0
Alabama,1219.0
Arkansas,762.0
Arizona,2245.0
California,15920.0
Colorado,1802.0
Connecticut,1622.0
District of Columbia,2636.0
Delaware,375.0
Florida,6849.0
Georgia,3301.0
Guam,10.0
Hawaii,527.0
Iowa,765.0
Idaho,548.0
Illinois,3591.0
Indiana,1776.0
Kansas,756.0
Kentucky,1795.0
Louisiana,947.0
Massachusetts,3102.0
Maryland,2429.0
Maine,611.0
Michigan,3492.0
Minnesota,1783.0
Missouri,1830.0
Northern Marina Islands,
Mississippi,273.0
Montana,387.0
North Carolina,3659.0
North Dakota,283.0
Nebraska,1166.0
New Hampshire,419.0
New Jersey,4407.0
New Mexico,1238.0
Nevada,1140.0
New York,17222.0
Ohio,4049.0
Oklahoma,1554.0
Oregon,1577.0
Pennsylvania,4504.0
Puerto Rico,241.0
Rhode Island,485.0
South Carolina,1210.0
South Dakota,218.0
Tennessee,2322.0
Texas,6226.0
Utah,948.0
Virginia,2926.0
US Virgin Islands,13.0
Vermont,340.0
Washington,3934.0
Wisconsin,1520.0
West Virginia,696.0
Wyoming,79.0
Total,124432.0
