state,count
Alaska,240.0
Alabama,328.0
Arkansas,187.0
Arizona,1119.0
California,7293.0
Colorado,1154.0
Connecticut,465.0
District of Columbia,858.0
Delaware,116.0
Florida,2325.0
Georgia,1132.0
Guam,39.0
Hawaii,650.0
Iowa,467.0
Idaho,256.0
Illinois,1804.0
Indiana,719.0
Kansas,309.0
Kentucky,678.0
Louisiana,424.0
Massachusetts,3521.0
Maryland,829.0
Maine,426.0
Michigan,1689.0
Minnesota,1189.0
Missouri,1059.0
Northern Marina Islands,
Mississippi,93.0
Montana,192.0
North Carolina,1058.0
North Dakota,55.0
Nebraska,376.0
New Hampshire,203.0
New Jersey,2418.0
New Mexico,371.0
Nevada,368.0
New York,11932.0
Ohio,1582.0
Oklahoma,311.0
Oregon,1242.0
Pennsylvania,2373.0
Puerto Rico,111.0
Rhode Island,137.0
South Carolina,347.0
South Dakota,119.0
Tennessee,539.0
Texas,2906.0
Utah,381.0
Virginia,1084.0
US Virgin Islands,22.0
Vermont,150.0
Washington,2840.0
Wisconsin,965.0
West Virginia,156.0
Wyoming,29.0
Total,61636.0
