state,count
Alaska,52.0
Alabama,272.0
Arkansas,143.0
Arizona,510.0
California,10094.0
Colorado,693.0
Connecticut,47.0
District of Columbia,25.0
Delaware,2.0
Florida,3368.0
Georgia,1218.0
Guam,26.0
Hawaii,295.0
Iowa,12.0
Idaho,81.0
Illinois,316.0
Indiana,76.0
Kansas,42.0
Kentucky,57.0
Louisiana,507.0
Massachusetts,58.0
Maryland,119.0
Maine,6.0
Michigan,204.0
Minnesota,78.0
Missouri,225.0
Northern Marina Islands,
Mississippi,91.0
Montana,116.0
North Carolina,307.0
North Dakota,3.0
Nebraska,57.0
New Hampshire,8.0
New Jersey,143.0
New Mexico,143.0
Nevada,548.0
New York,519.0
Ohio,196.0
Oklahoma,55.0
Oregon,819.0
Pennsylvania,130.0
Puerto Rico,87.0
Rhode Island,2.0
South Carolina,223.0
South Dakota,10.0
Tennessee,233.0
Texas,2526.0
Utah,35.0
Virginia,163.0
US Virgin Islands,32.0
Vermont,6.0
Washington,311.0
Wisconsin,23.0
West Virginia,66.0
Wyoming,44.0
Total,25422.0
