state,count
Alaska,279.0
Alabama,969.0
Arkansas,437.0
Arizona,1895.0
California,33356.0
Colorado,1943.0
Connecticut,944.0
District of Columbia,2315.0
Delaware,100.0
Florida,10054.0
Georgia,3843.0
Guam,226.0
Hawaii,949.0
Iowa,307.0
Idaho,252.0
Illinois,2206.0
Indiana,545.0
Kansas,371.0
Kentucky,629.0
Louisiana,2893.0
Massachusetts,2055.0
Maryland,1407.0
Maine,233.0
Michigan,1370.0
Minnesota,1718.0
Missouri,1632.0
Northern Marina Islands,
Mississippi,501.0
Montana,388.0
North Carolina,1621.0
North Dakota,86.0
Nebraska,501.0
New Hampshire,274.0
New Jersey,1026.0
New Mexico,1072.0
Nevada,1725.0
New York,4897.0
Ohio,1982.0
Oklahoma,569.0
Oregon,3302.0
Pennsylvania,2106.0
Puerto Rico,3251.0
Rhode Island,154.0
South Carolina,528.0
South Dakota,138.0
Tennessee,2266.0
Texas,6650.0
Utah,443.0
Virginia,1646.0
US Virgin Islands,193.0
Vermont,228.0
Washington,2213.0
Wisconsin,487.0
West Virginia,410.0
Wyoming,452.0
Total,112037.0
