state,count
Alaska,1298.0
Alabama,3825.0
Arkansas,3428.0
Arizona,6310.0
California,94888.0
Colorado,5101.0
Connecticut,2906.0
District of Columbia,3767.0
Delaware,611.0
Florida,36771.0
Georgia,15363.0
Guam,255.0
Hawaii,3130.0
Iowa,1446.0
Idaho,1175.0
Illinois,8269.0
Indiana,3316.0
Kansas,1526.0
Kentucky,3282.0
Louisiana,6322.0
Massachusetts,6289.0
Maryland,5727.0
Maine,1287.0
Michigan,7397.0
Minnesota,3540.0
Missouri,4855.0
Northern Marina Islands,
Mississippi,1794.0
Montana,1166.0
North Carolina,8480.0
North Dakota,485.0
Nebraska,2215.0
New Hampshire,832.0
New Jersey,6603.0
New Mexico,2136.0
Nevada,7493.0
New York,30133.0
Ohio,7855.0
Oklahoma,3454.0
Oregon,9788.0
Pennsylvania,7295.0
Puerto Rico,2494.0
Rhode Island,788.0
South Carolina,3327.0
South Dakota,512.0
Tennessee,6905.0
Texas,20743.0
Utah,2049.0
Virginia,5084.0
US Virgin Islands,438.0
Vermont,653.0
Washington,11273.0
Wisconsin,3033.0
West Virginia,1742.0
Wyoming,1302.0
Total,382156.0
