state,count
Alaska,0.0
Alabama,32.0
Arkansas,0.0
Arizona,40.0
California,160.0
Colorado,25.0
Connecticut,0.0
District of Columbia,0.0
Delaware,10.0
Florida,155.0
Georgia,22.0
Guam,0.0
Hawaii,25.0
Iowa,0.0
Idaho,0.0
Illinois,92.0
Indiana,25.0
Kansas,17.0
Kentucky,10.0
Louisiana,35.0
Massachusetts,53.0
Maryland,92.0
Maine,12.0
Michigan,34.0
Minnesota,10.0
Missouri,53.0
Northern Marina Islands,
Mississippi,0.0
Montana,0.0
North Carolina,13.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,5.0
New Jersey,19.0
New Mexico,0.0
Nevada,25.0
New York,162.0
Ohio,95.0
Oklahoma,58.0
Oregon,19.0
Pennsylvania,202.0
Puerto Rico,63.0
Rhode Island,18.0
South Carolina,12.0
South Dakota,0.0
Tennessee,20.0
Texas,144.0
Utah,47.0
Virginia,51.0
US Virgin Islands,0.0
Vermont,6.0
Washington,55.0
Wisconsin,61.0
West Virginia,14.0
Wyoming,0.0
Total,1991.0
