state,count
Alaska,6.0
Alabama,22.0
Arkansas,29.0
Arizona,226.0
California,546.0
Colorado,291.0
Connecticut,20.0
District of Columbia,445.0
Delaware,16.0
Florida,274.0
Georgia,396.0
Guam,0.0
Hawaii,18.0
Iowa,37.0
Idaho,21.0
Illinois,58.0
Indiana,84.0
Kansas,57.0
Kentucky,76.0
Louisiana,72.0
Massachusetts,555.0
Maryland,70.0
Maine,11.0
Michigan,153.0
Minnesota,646.0
Missouri,419.0
Northern Marina Islands,
Mississippi,12.0
Montana,52.0
North Carolina,61.0
North Dakota,3.0
Nebraska,45.0
New Hampshire,29.0
New Jersey,108.0
New Mexico,47.0
Nevada,119.0
New York,559.0
Ohio,171.0
Oklahoma,50.0
Oregon,100.0
Pennsylvania,150.0
Puerto Rico,52.0
Rhode Island,6.0
South Carolina,1.0
South Dakota,25.0
Tennessee,73.0
Texas,320.0
Utah,59.0
Virginia,73.0
US Virgin Islands,0.0
Vermont,25.0
Washington,89.0
Wisconsin,91.0
West Virginia,43.0
Wyoming,2.0
Total,6913.0
