state,count
Alaska,263.0
Alabama,353.0
Arkansas,171.0
Arizona,615.0
California,5458.0
Colorado,784.0
Connecticut,614.0
District of Columbia,1773.0
Delaware,89.0
Florida,2406.0
Georgia,1426.0
Guam,0.0
Hawaii,146.0
Iowa,218.0
Idaho,111.0
Illinois,1144.0
Indiana,369.0
Kansas,275.0
Kentucky,423.0
Louisiana,352.0
Massachusetts,1723.0
Maryland,559.0
Maine,231.0
Michigan,843.0
Minnesota,1346.0
Missouri,1028.0
Northern Marina Islands,
Mississippi,67.0
Montana,213.0
North Carolina,702.0
North Dakota,78.0
Nebraska,333.0
New Hampshire,180.0
New Jersey,717.0
New Mexico,613.0
Nevada,599.0
New York,2461.0
Ohio,1367.0
Oklahoma,287.0
Oregon,754.0
Pennsylvania,1121.0
Puerto Rico,251.0
Rhode Island,154.0
South Carolina,114.0
South Dakota,125.0
Tennessee,1126.0
Texas,2180.0
Utah,299.0
Virginia,1042.0
US Virgin Islands,2.0
Vermont,153.0
Washington,1227.0
Wisconsin,361.0
West Virginia,215.0
Wyoming,99.0
Total,39560.0
