state,count
Alaska,197.0
Alabama,1545.0
Arkansas,2612.0
Arizona,3087.0
California,74208.0
Colorado,9508.0
Connecticut,695.0
District of Columbia,679.0
Delaware,22.0
Florida,35338.0
Georgia,12196.0
Guam,1114.0
Hawaii,2520.0
Iowa,148.0
Idaho,486.0
Illinois,2995.0
Indiana,889.0
Kansas,334.0
Kentucky,911.0
Louisiana,3965.0
Massachusetts,722.0
Maryland,3512.0
Maine,33.0
Michigan,2322.0
Minnesota,990.0
Missouri,2344.0
Northern Marina Islands,
Mississippi,1371.0
Montana,680.0
North Carolina,4715.0
North Dakota,53.0
Nebraska,832.0
New Hampshire,167.0
New Jersey,1596.0
New Mexico,848.0
Nevada,4527.0
New York,4084.0
Ohio,1731.0
Oklahoma,1989.0
Oregon,9283.0
Pennsylvania,1076.0
Puerto Rico,1866.0
Rhode Island,28.0
South Carolina,2139.0
South Dakota,64.0
Tennessee,3648.0
Texas,16551.0
Utah,475.0
Virginia,1429.0
US Virgin Islands,378.0
Vermont,223.0
Washington,5477.0
Wisconsin,581.0
West Virginia,877.0
Wyoming,1338.0
Total,231398.0
