state,count
Alaska,302.0
Alabama,504.0
Arkansas,386.0
Arizona,1435.0
California,7408.0
Colorado,1690.0
Connecticut,758.0
District of Columbia,1551.0
Delaware,163.0
Florida,2902.0
Georgia,1443.0
Guam,49.0
Hawaii,630.0
Iowa,421.0
Idaho,255.0
Illinois,1226.0
Indiana,1066.0
Kansas,542.0
Kentucky,778.0
Louisiana,291.0
Massachusetts,10600.0
Maryland,1375.0
Maine,302.0
Michigan,1558.0
Minnesota,2121.0
Missouri,1546.0
Northern Marina Islands,
Mississippi,178.0
Montana,296.0
North Carolina,1565.0
North Dakota,170.0
Nebraska,491.0
New Hampshire,235.0
New Jersey,3476.0
New Mexico,397.0
Nevada,481.0
New York,41014.0
Ohio,2140.0
Oklahoma,537.0
Oregon,817.0
Pennsylvania,2736.0
Puerto Rico,39.0
Rhode Island,286.0
South Carolina,377.0
South Dakota,178.0
Tennessee,714.0
Texas,3676.0
Utah,601.0
Virginia,1462.0
US Virgin Islands,22.0
Vermont,580.0
Washington,1937.0
Wisconsin,1276.0
West Virginia,350.0
Wyoming,47.0
Total,107380.0
