state,count
Alaska,1784.0
Alabama,4561.0
Arkansas,2936.0
Arizona,10495.0
California,113952.0
Colorado,10028.0
Connecticut,4450.0
District of Columbia,7748.0
Delaware,901.0
Florida,41542.0
Georgia,16521.0
Guam,1356.0
Hawaii,6918.0
Iowa,3122.0
Idaho,2104.0
Illinois,13107.0
Indiana,5971.0
Kansas,2783.0
Kentucky,5089.0
Louisiana,4606.0
Massachusetts,21237.0
Maryland,7856.0
Maine,2726.0
Michigan,12227.0
Minnesota,8377.0
Missouri,7282.0
Northern Marina Islands,
Mississippi,2226.0
Montana,1745.0
North Carolina,11491.0
North Dakota,1258.0
Nebraska,3026.0
New Hampshire,1376.0
New Jersey,11671.0
New Mexico,2746.0
Nevada,8582.0
New York,80590.0
Ohio,11823.0
Oklahoma,4191.0
Oregon,12164.0
Pennsylvania,15333.0
Puerto Rico,4132.0
Rhode Island,1190.0
South Carolina,5057.0
South Dakota,885.0
Tennessee,9415.0
Texas,28495.0
Utah,3081.0
Virginia,7020.0
US Virgin Islands,448.0
Vermont,1559.0
Washington,18442.0
Wisconsin,6055.0
West Virginia,2013.0
Wyoming,757.0
Total,576450.0
