state,count
Alaska,500.0
Alabama,1636.0
Arkansas,482.0
Arizona,3595.0
California,21365.0
Colorado,4058.0
Connecticut,1050.0
District of Columbia,1598.0
Delaware,429.0
Florida,9469.0
Georgia,3773.0
Guam,69.0
Hawaii,2626.0
Iowa,1539.0
Idaho,729.0
Illinois,6281.0
Indiana,2170.0
Kansas,1064.0
Kentucky,1865.0
Louisiana,2030.0
Massachusetts,3576.0
Maryland,2469.0
Maine,1515.0
Michigan,4522.0
Minnesota,3168.0
Missouri,2732.0
Northern Marina Islands,
Mississippi,673.0
Montana,440.0
North Carolina,3243.0
North Dakota,155.0
Nebraska,1333.0
New Hampshire,526.0
New Jersey,2989.0
New Mexico,909.0
Nevada,1205.0
New York,9405.0
Ohio,3604.0
Oklahoma,710.0
Oregon,3324.0
Pennsylvania,6294.0
Puerto Rico,936.0
Rhode Island,345.0
South Carolina,1455.0
South Dakota,302.0
Tennessee,2206.0
Texas,7494.0
Utah,959.0
Virginia,1987.0
US Virgin Islands,34.0
Vermont,359.0
Washington,6296.0
Wisconsin,2541.0
West Virginia,381.0
Wyoming,295.0
Total,144710.0
