state,count
Alaska,530.0
Alabama,1145.0
Arkansas,433.0
Arizona,4075.0
California,17658.0
Colorado,4048.0
Connecticut,1288.0
District of Columbia,3795.0
Delaware,310.0
Florida,6965.0
Georgia,3282.0
Guam,89.0
Hawaii,2649.0
Iowa,1558.0
Idaho,620.0
Illinois,5616.0
Indiana,2008.0
Kansas,1239.0
Kentucky,1453.0
Louisiana,1139.0
Massachusetts,14437.0
Maryland,2395.0
Maine,1351.0
Michigan,4159.0
Minnesota,4576.0
Missouri,2658.0
Northern Marina Islands,
Mississippi,472.0
Montana,418.0
North Carolina,3136.0
North Dakota,268.0
Nebraska,1129.0
New Hampshire,567.0
New Jersey,5200.0
New Mexico,889.0
Nevada,1226.0
New York,47887.0
Ohio,3951.0
Oklahoma,968.0
Oregon,2436.0
Pennsylvania,6881.0
Puerto Rico,387.0
Rhode Island,409.0
South Carolina,997.0
South Dakota,380.0
Tennessee,1690.0
Texas,8470.0
Utah,1228.0
Virginia,2760.0
US Virgin Islands,23.0
Vermont,692.0
Washington,6283.0
Wisconsin,3036.0
West Virginia,408.0
Wyoming,236.0
Total,191903.0
