state,count
Alaska,69.0
Alabama,446.0
Arkansas,434.0
Arizona,643.0
California,25947.0
Colorado,874.0
Connecticut,368.0
District of Columbia,335.0
Delaware,9.0
Florida,6086.0
Georgia,2059.0
Guam,67.0
Hawaii,1102.0
Iowa,90.0
Idaho,139.0
Illinois,478.0
Indiana,111.0
Kansas,108.0
Kentucky,228.0
Louisiana,514.0
Massachusetts,305.0
Maryland,605.0
Maine,26.0
Michigan,468.0
Minnesota,346.0
Missouri,283.0
Northern Marina Islands,
Mississippi,203.0
Montana,193.0
North Carolina,711.0
North Dakota,14.0
Nebraska,29.0
New Hampshire,52.0
New Jersey,392.0
New Mexico,219.0
Nevada,601.0
New York,2429.0
Ohio,472.0
Oklahoma,255.0
Oregon,2118.0
Pennsylvania,473.0
Puerto Rico,1869.0
Rhode Island,6.0
South Carolina,173.0
South Dakota,26.0
Tennessee,831.0
Texas,3185.0
Utah,42.0
Virginia,291.0
US Virgin Islands,87.0
Vermont,55.0
Washington,1406.0
Wisconsin,77.0
West Virginia,178.0
Wyoming,40.0
Total,58567.0
