state,count
Alaska,14.0
Alabama,100.0
Arkansas,68.0
Arizona,61.0
California,1828.0
Colorado,130.0
Connecticut,37.0
District of Columbia,0.0
Delaware,2.0
Florida,2323.0
Georgia,268.0
Guam,160.0
Hawaii,127.0
Iowa,5.0
Idaho,67.0
Illinois,56.0
Indiana,3.0
Kansas,4.0
Kentucky,68.0
Louisiana,8.0
Massachusetts,4.0
Maryland,145.0
Maine,12.0
Michigan,191.0
Minnesota,39.0
Missouri,89.0
Northern Marina Islands,
Mississippi,14.0
Montana,44.0
North Carolina,271.0
North Dakota,32.0
Nebraska,1.0
New Hampshire,6.0
New Jersey,8.0
New Mexico,19.0
Nevada,0.0
New York,19.0
Ohio,53.0
Oklahoma,78.0
Oregon,489.0
Pennsylvania,27.0
Puerto Rico,78.0
Rhode Island,1.0
South Carolina,108.0
South Dakota,4.0
Tennessee,306.0
Texas,235.0
Utah,18.0
Virginia,10.0
US Virgin Islands,0.0
Vermont,18.0
Washington,251.0
Wisconsin,30.0
West Virginia,42.0
Wyoming,13.0
Total,7984.0
