state,count
Alaska,182.0
Alabama,557.0
Arkansas,524.0
Arizona,1246.0
California,29178.0
Colorado,1572.0
Connecticut,538.0
District of Columbia,1593.0
Delaware,64.0
Florida,6021.0
Georgia,1994.0
Guam,27.0
Hawaii,1372.0
Iowa,201.0
Idaho,164.0
Illinois,1799.0
Indiana,608.0
Kansas,339.0
Kentucky,383.0
Louisiana,735.0
Massachusetts,1411.0
Maryland,1634.0
Maine,193.0
Michigan,830.0
Minnesota,1124.0
Missouri,875.0
Northern Marina Islands,
Mississippi,233.0
Montana,154.0
North Carolina,1253.0
North Dakota,70.0
Nebraska,257.0
New Hampshire,257.0
New Jersey,1182.0
New Mexico,621.0
Nevada,585.0
New York,4327.0
Ohio,1160.0
Oklahoma,508.0
Oregon,3521.0
Pennsylvania,1442.0
Puerto Rico,1615.0
Rhode Island,110.0
South Carolina,916.0
South Dakota,85.0
Tennessee,1492.0
Texas,3778.0
Utah,178.0
Virginia,1041.0
US Virgin Islands,22.0
Vermont,139.0
Washington,2261.0
Wisconsin,361.0
West Virginia,352.0
Wyoming,86.0
Total,83170.0
