state,count
Alaska,0.0
Alabama,5.0
Arkansas,0.0
Arizona,6.0
California,11.0
Colorado,1.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,10.0
Georgia,0.0
Guam,0.0
Hawaii,1.0
Iowa,4.0
Idaho,0.0
Illinois,2.0
Indiana,3.0
Kansas,0.0
Kentucky,0.0
Louisiana,0.0
Massachusetts,10.0
Maryland,0.0
Maine,0.0
Michigan,0.0
Minnesota,13.0
Missouri,7.0
Northern Marina Islands,
Mississippi,0.0
Montana,9.0
North Carolina,2.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,0.0
New Jersey,0.0
New Mexico,0.0
Nevada,5.0
New York,10.0
Ohio,3.0
Oklahoma,0.0
Oregon,0.0
Pennsylvania,4.0
Puerto Rico,0.0
Rhode Island,0.0
South Carolina,1.0
South Dakota,0.0
Tennessee,0.0
Texas,3.0
Utah,0.0
Virginia,0.0
US Virgin Islands,0.0
Vermont,1.0
Washington,12.0
Wisconsin,0.0
West Virginia,3.0
Wyoming,0.0
Total,126.0
