state,count
Alaska,66.0
Alabama,90.0
Arkansas,57.0
Arizona,150.0
California,802.0
Colorado,180.0
Connecticut,59.0
District of Columbia,96.0
Delaware,25.0
Florida,447.0
Georgia,160.0
Guam,0.0
Hawaii,31.0
Iowa,100.0
Idaho,67.0
Illinois,314.0
Indiana,208.0
Kansas,44.0
Kentucky,100.0
Louisiana,105.0
Massachusetts,279.0
Maryland,251.0
Maine,80.0
Michigan,411.0
Minnesota,259.0
Missouri,154.0
Northern Marina Islands,
Mississippi,13.0
Montana,25.0
North Carolina,335.0
North Dakota,45.0
Nebraska,64.0
New Hampshire,45.0
New Jersey,372.0
New Mexico,65.0
Nevada,161.0
New York,1675.0
Ohio,415.0
Oklahoma,214.0
Oregon,215.0
Pennsylvania,436.0
Puerto Rico,20.0
Rhode Island,33.0
South Carolina,56.0
South Dakota,62.0
Tennessee,338.0
Texas,411.0
Utah,67.0
Virginia,229.0
US Virgin Islands,2.0
Vermont,60.0
Washington,269.0
Wisconsin,142.0
West Virginia,68.0
Wyoming,16.0
Total,10388.0
