state,count
Alaska,106.0
Alabama,211.0
Arkansas,246.0
Arizona,227.0
California,1940.0
Colorado,376.0
Connecticut,80.0
District of Columbia,247.0
Delaware,44.0
Florida,834.0
Georgia,274.0
Guam,0.0
Hawaii,88.0
Iowa,80.0
Idaho,52.0
Illinois,259.0
Indiana,183.0
Kansas,98.0
Kentucky,259.0
Louisiana,76.0
Massachusetts,367.0
Maryland,235.0
Maine,86.0
Michigan,373.0
Minnesota,130.0
Missouri,193.0
Northern Marina Islands,
Mississippi,33.0
Montana,52.0
North Carolina,464.0
North Dakota,52.0
Nebraska,95.0
New Hampshire,38.0
New Jersey,284.0
New Mexico,133.0
Nevada,139.0
New York,884.0
Ohio,505.0
Oklahoma,168.0
Oregon,286.0
Pennsylvania,477.0
Puerto Rico,13.0
Rhode Island,35.0
South Carolina,126.0
South Dakota,85.0
Tennessee,335.0
Texas,785.0
Utah,128.0
Virginia,370.0
US Virgin Islands,4.0
Vermont,42.0
Washington,482.0
Wisconsin,175.0
West Virginia,163.0
Wyoming,33.0
Total,13450.0
