state,count
Alaska,12.0
Alabama,17.0
Arkansas,10.0
Arizona,134.0
California,698.0
Colorado,136.0
Connecticut,27.0
District of Columbia,159.0
Delaware,25.0
Florida,206.0
Georgia,49.0
Guam,0.0
Hawaii,44.0
Iowa,110.0
Idaho,15.0
Illinois,404.0
Indiana,65.0
Kansas,18.0
Kentucky,58.0
Louisiana,51.0
Massachusetts,138.0
Maryland,104.0
Maine,34.0
Michigan,228.0
Minnesota,169.0
Missouri,75.0
Northern Marina Islands,
Mississippi,12.0
Montana,22.0
North Carolina,36.0
North Dakota,6.0
Nebraska,51.0
New Hampshire,24.0
New Jersey,136.0
New Mexico,27.0
Nevada,25.0
New York,333.0
Ohio,130.0
Oklahoma,47.0
Oregon,67.0
Pennsylvania,461.0
Puerto Rico,41.0
Rhode Island,33.0
South Carolina,56.0
South Dakota,19.0
Tennessee,16.0
Texas,160.0
Utah,13.0
Virginia,85.0
US Virgin Islands,0.0
Vermont,10.0
Washington,241.0
Wisconsin,176.0
West Virginia,10.0
Wyoming,14.0
Total,5237.0
