state,count
Alaska,292.0
Alabama,910.0
Arkansas,365.0
Arizona,1637.0
California,9947.0
Colorado,1085.0
Connecticut,509.0
District of Columbia,665.0
Delaware,204.0
Florida,5256.0
Georgia,2187.0
Guam,14.0
Hawaii,676.0
Iowa,494.0
Idaho,324.0
Illinois,2094.0
Indiana,1206.0
Kansas,314.0
Kentucky,923.0
Louisiana,1085.0
Massachusetts,1772.0
Maryland,1317.0
Maine,441.0
Michigan,1905.0
Minnesota,886.0
Missouri,795.0
Northern Marina Islands,
Mississippi,324.0
Montana,132.0
North Carolina,1438.0
North Dakota,124.0
Nebraska,585.0
New Hampshire,178.0
New Jersey,1278.0
New Mexico,267.0
Nevada,1094.0
New York,5261.0
Ohio,1877.0
Oklahoma,372.0
Oregon,1615.0
Pennsylvania,2418.0
Puerto Rico,619.0
Rhode Island,143.0
South Carolina,1236.0
South Dakota,94.0
Tennessee,1409.0
Texas,2065.0
Utah,351.0
Virginia,501.0
US Virgin Islands,20.0
Vermont,148.0
Washington,1781.0
Wisconsin,822.0
West Virginia,225.0
Wyoming,105.0
Total,63785.0
