state,count
Alaska,70.0
Alabama,157.0
Arkansas,234.0
Arizona,297.0
California,4169.0
Colorado,754.0
Connecticut,240.0
District of Columbia,1273.0
Delaware,59.0
Florida,1210.0
Georgia,568.0
Guam,0.0
Hawaii,153.0
Iowa,147.0
Idaho,84.0
Illinois,892.0
Indiana,450.0
Kansas,214.0
Kentucky,345.0
Louisiana,255.0
Massachusetts,1170.0
Maryland,923.0
Maine,179.0
Michigan,519.0
Minnesota,833.0
Missouri,536.0
Northern Marina Islands,
Mississippi,67.0
Montana,23.0
North Carolina,605.0
North Dakota,52.0
Nebraska,201.0
New Hampshire,205.0
New Jersey,752.0
New Mexico,360.0
Nevada,108.0
New York,1982.0
Ohio,782.0
Oklahoma,289.0
Oregon,921.0
Pennsylvania,909.0
Puerto Rico,195.0
Rhode Island,100.0
South Carolina,456.0
South Dakota,59.0
Tennessee,648.0
Texas,1543.0
Utah,165.0
Virginia,702.0
US Virgin Islands,4.0
Vermont,84.0
Washington,908.0
Wisconsin,277.0
West Virginia,192.0
Wyoming,35.0
Total,28355.0
