state,count
Alaska,21.0
Alabama,29.0
Arkansas,20.0
Arizona,185.0
California,1039.0
Colorado,197.0
Connecticut,63.0
District of Columbia,544.0
Delaware,41.0
Florida,397.0
Georgia,79.0
Guam,0.0
Hawaii,71.0
Iowa,139.0
Idaho,29.0
Illinois,514.0
Indiana,147.0
Kansas,30.0
Kentucky,90.0
Louisiana,105.0
Massachusetts,1070.0
Maryland,204.0
Maine,65.0
Michigan,396.0
Minnesota,352.0
Missouri,165.0
Northern Marina Islands,
Mississippi,13.0
Montana,31.0
North Carolina,130.0
North Dakota,17.0
Nebraska,69.0
New Hampshire,40.0
New Jersey,487.0
New Mexico,52.0
Nevada,74.0
New York,3006.0
Ohio,352.0
Oklahoma,91.0
Oregon,101.0
Pennsylvania,792.0
Puerto Rico,49.0
Rhode Island,44.0
South Carolina,87.0
South Dakota,36.0
Tennessee,49.0
Texas,244.0
Utah,40.0
Virginia,186.0
US Virgin Islands,0.0
Vermont,35.0
Washington,342.0
Wisconsin,270.0
West Virginia,21.0
Wyoming,19.0
Total,12669.0
