state,count
Alaska,123.0
Alabama,168.0
Arkansas,95.0
Arizona,450.0
California,2464.0
Colorado,360.0
Connecticut,92.0
District of Columbia,183.0
Delaware,56.0
Florida,1207.0
Georgia,292.0
Guam,1.0
Hawaii,76.0
Iowa,176.0
Idaho,91.0
Illinois,680.0
Indiana,333.0
Kansas,72.0
Kentucky,194.0
Louisiana,233.0
Massachusetts,384.0
Maryland,327.0
Maine,145.0
Michigan,880.0
Minnesota,639.0
Missouri,393.0
Northern Marina Islands,
Mississippi,55.0
Montana,41.0
North Carolina,468.0
North Dakota,113.0
Nebraska,220.0
New Hampshire,82.0
New Jersey,587.0
New Mexico,168.0
Nevada,288.0
New York,2367.0
Ohio,665.0
Oklahoma,315.0
Oregon,448.0
Pennsylvania,745.0
Puerto Rico,62.0
Rhode Island,39.0
South Carolina,126.0
South Dakota,83.0
Tennessee,454.0
Texas,797.0
Utah,106.0
Virginia,288.0
US Virgin Islands,4.0
Vermont,87.0
Washington,700.0
Wisconsin,287.0
West Virginia,103.0
Wyoming,26.0
Total,19838.0
