state,count
Alaska,26.0
Alabama,55.0
Arkansas,93.0
Arizona,167.0
California,7320.0
Colorado,198.0
Connecticut,32.0
District of Columbia,17.0
Delaware,1.0
Florida,892.0
Georgia,279.0
Guam,6.0
Hawaii,211.0
Iowa,3.0
Idaho,37.0
Illinois,147.0
Indiana,40.0
Kansas,17.0
Kentucky,54.0
Louisiana,153.0
Massachusetts,30.0
Maryland,122.0
Maine,1.0
Michigan,88.0
Minnesota,76.0
Missouri,63.0
Northern Marina Islands,
Mississippi,38.0
Montana,123.0
North Carolina,147.0
North Dakota,29.0
Nebraska,18.0
New Hampshire,8.0
New Jersey,56.0
New Mexico,24.0
Nevada,1206.0
New York,254.0
Ohio,103.0
Oklahoma,101.0
Oregon,576.0
Pennsylvania,117.0
Puerto Rico,109.0
Rhode Island,8.0
South Carolina,68.0
South Dakota,25.0
Tennessee,208.0
Texas,586.0
Utah,26.0
Virginia,42.0
US Virgin Islands,8.0
Vermont,13.0
Washington,578.0
Wisconsin,39.0
West Virginia,42.0
Wyoming,9.0
Total,14689.0
