state,count
Alaska,10.0
Alabama,45.0
Arkansas,13.0
Arizona,222.0
California,1098.0
Colorado,217.0
Connecticut,93.0
District of Columbia,688.0
Delaware,20.0
Florida,485.0
Georgia,125.0
Guam,11.0
Hawaii,85.0
Iowa,177.0
Idaho,49.0
Illinois,467.0
Indiana,147.0
Kansas,23.0
Kentucky,109.0
Louisiana,85.0
Massachusetts,699.0
Maryland,225.0
Maine,38.0
Michigan,381.0
Minnesota,377.0
Missouri,204.0
Northern Marina Islands,
Mississippi,23.0
Montana,22.0
North Carolina,200.0
North Dakota,18.0
Nebraska,44.0
New Hampshire,61.0
New Jersey,337.0
New Mexico,23.0
Nevada,42.0
New York,3311.0
Ohio,340.0
Oklahoma,70.0
Oregon,169.0
Pennsylvania,779.0
Puerto Rico,43.0
Rhode Island,31.0
South Carolina,76.0
South Dakota,25.0
Tennessee,147.0
Texas,465.0
Utah,30.0
Virginia,146.0
US Virgin Islands,0.0
Vermont,49.0
Washington,455.0
Wisconsin,267.0
West Virginia,35.0
Wyoming,17.0
Total,13318.0
