state,count
Alaska,9.0
Alabama,26.0
Arkansas,13.0
Arizona,149.0
California,852.0
Colorado,155.0
Connecticut,61.0
District of Columbia,527.0
Delaware,10.0
Florida,315.0
Georgia,90.0
Guam,10.0
Hawaii,91.0
Iowa,112.0
Idaho,39.0
Illinois,339.0
Indiana,88.0
Kansas,17.0
Kentucky,73.0
Louisiana,46.0
Massachusetts,548.0
Maryland,148.0
Maine,31.0
Michigan,245.0
Minnesota,245.0
Missouri,133.0
Northern Marina Islands,
Mississippi,14.0
Montana,22.0
North Carolina,135.0
North Dakota,13.0
Nebraska,34.0
New Hampshire,31.0
New Jersey,269.0
New Mexico,14.0
Nevada,33.0
New York,2713.0
Ohio,220.0
Oklahoma,50.0
Oregon,133.0
Pennsylvania,545.0
Puerto Rico,31.0
Rhode Island,21.0
South Carolina,46.0
South Dakota,18.0
Tennessee,107.0
Texas,304.0
Utah,17.0
Virginia,101.0
US Virgin Islands,0.0
Vermont,46.0
Washington,289.0
Wisconsin,188.0
West Virginia,19.0
Wyoming,15.0
Total,9800.0
