state,count
Alaska,413.0
Alabama,1092.0
Arkansas,625.0
Arizona,3048.0
California,20482.0
Colorado,4100.0
Connecticut,1332.0
District of Columbia,4667.0
Delaware,317.0
Florida,9358.0
Georgia,3644.0
Guam,858.0
Hawaii,3331.0
Iowa,1521.0
Idaho,963.0
Illinois,4604.0
Indiana,1974.0
Kansas,1027.0
Kentucky,1288.0
Louisiana,818.0
Massachusetts,13174.0
Maryland,2706.0
Maine,920.0
Michigan,3513.0
Minnesota,3672.0
Missouri,2384.0
Northern Marina Islands,
Mississippi,439.0
Montana,574.0
North Carolina,3163.0
North Dakota,261.0
Nebraska,874.0
New Hampshire,539.0
New Jersey,3355.0
New Mexico,707.0
Nevada,545.0
New York,51037.0
Ohio,3458.0
Oklahoma,1110.0
Oregon,3859.0
Pennsylvania,6740.0
Puerto Rico,619.0
Rhode Island,301.0
South Carolina,1293.0
South Dakota,524.0
Tennessee,2127.0
Texas,7163.0
Utah,979.0
Virginia,2309.0
US Virgin Islands,33.0
Vermont,462.0
Washington,6927.0
Wisconsin,2799.0
West Virginia,348.0
Wyoming,340.0
Total,194716.0
