state,count
Alaska,154.0
Alabama,226.0
Arkansas,152.0
Arizona,489.0
California,10375.0
Colorado,614.0
Connecticut,111.0
District of Columbia,201.0
Delaware,51.0
Florida,1580.0
Georgia,708.0
Guam,6.0
Hawaii,283.0
Iowa,142.0
Idaho,114.0
Illinois,691.0
Indiana,328.0
Kansas,87.0
Kentucky,199.0
Louisiana,345.0
Massachusetts,359.0
Maryland,264.0
Maine,146.0
Michigan,623.0
Minnesota,641.0
Missouri,437.0
Northern Marina Islands,
Mississippi,75.0
Montana,87.0
North Carolina,432.0
North Dakota,64.0
Nebraska,198.0
New Hampshire,79.0
New Jersey,499.0
New Mexico,119.0
Nevada,1380.0
New York,2701.0
Ohio,576.0
Oklahoma,371.0
Oregon,939.0
Pennsylvania,805.0
Puerto Rico,157.0
Rhode Island,64.0
South Carolina,246.0
South Dakota,68.0
Tennessee,390.0
Texas,1122.0
Utah,132.0
Virginia,310.0
US Virgin Islands,8.0
Vermont,70.0
Washington,1215.0
Wisconsin,312.0
West Virginia,89.0
Wyoming,28.0
Total,31862.0
