state,count
Alaska,19.0
Alabama,9.0
Arkansas,16.0
Arizona,67.0
California,158.0
Colorado,17.0
Connecticut,8.0
District of Columbia,6.0
Delaware,0.0
Florida,231.0
Georgia,13.0
Guam,1.0
Hawaii,6.0
Iowa,12.0
Idaho,13.0
Illinois,18.0
Indiana,35.0
Kansas,2.0
Kentucky,20.0
Louisiana,53.0
Massachusetts,0.0
Maryland,2.0
Maine,16.0
Michigan,56.0
Minnesota,50.0
Missouri,125.0
Northern Marina Islands,
Mississippi,10.0
Montana,0.0
North Carolina,50.0
North Dakota,5.0
Nebraska,18.0
New Hampshire,0.0
New Jersey,17.0
New Mexico,44.0
Nevada,13.0
New York,113.0
Ohio,38.0
Oklahoma,35.0
Oregon,42.0
Pennsylvania,36.0
Puerto Rico,4.0
Rhode Island,0.0
South Carolina,10.0
South Dakota,5.0
Tennessee,18.0
Texas,108.0
Utah,17.0
Virginia,12.0
US Virgin Islands,0.0
Vermont,0.0
Washington,54.0
Wisconsin,19.0
West Virginia,5.0
Wyoming,1.0
Total,1627.0
