state,count
Alaska,179.0
Alabama,422.0
Arkansas,153.0
Arizona,1609.0
California,8420.0
Colorado,2019.0
Connecticut,450.0
District of Columbia,1002.0
Delaware,150.0
Florida,2869.0
Georgia,1516.0
Guam,0.0
Hawaii,1752.0
Iowa,1107.0
Idaho,353.0
Illinois,3558.0
Indiana,877.0
Kansas,614.0
Kentucky,533.0
Louisiana,445.0
Massachusetts,1282.0
Maryland,1180.0
Maine,523.0
Michigan,1425.0
Minnesota,2008.0
Missouri,972.0
Northern Marina Islands,
Mississippi,182.0
Montana,160.0
North Carolina,833.0
North Dakota,107.0
Nebraska,475.0
New Hampshire,304.0
New Jersey,933.0
New Mexico,345.0
Nevada,205.0
New York,2615.0
Ohio,1067.0
Oklahoma,273.0
Oregon,765.0
Pennsylvania,3434.0
Puerto Rico,384.0
Rhode Island,161.0
South Carolina,548.0
South Dakota,151.0
Tennessee,680.0
Texas,3527.0
Utah,265.0
Virginia,1055.0
US Virgin Islands,12.0
Vermont,162.0
Washington,3879.0
Wisconsin,1418.0
West Virginia,109.0
Wyoming,101.0
Total,59568.0
