state,count
Alaska,50.0
Alabama,45.0
Arkansas,21.0
Arizona,162.0
California,1443.0
Colorado,93.0
Connecticut,21.0
District of Columbia,87.0
Delaware,17.0
Florida,371.0
Georgia,172.0
Guam,1.0
Hawaii,38.0
Iowa,55.0
Idaho,20.0
Illinois,352.0
Indiana,79.0
Kansas,30.0
Kentucky,62.0
Louisiana,108.0
Massachusetts,85.0
Maryland,59.0
Maine,63.0
Michigan,211.0
Minnesota,289.0
Missouri,155.0
Northern Marina Islands,
Mississippi,13.0
Montana,21.0
North Carolina,65.0
North Dakota,11.0
Nebraska,122.0
New Hampshire,38.0
New Jersey,134.0
New Mexico,32.0
Nevada,142.0
New York,665.0
Ohio,184.0
Oklahoma,64.0
Oregon,186.0
Pennsylvania,280.0
Puerto Rico,37.0
Rhode Island,4.0
South Carolina,63.0
South Dakota,22.0
Tennessee,92.0
Texas,203.0
Utah,32.0
Virginia,55.0
US Virgin Islands,0.0
Vermont,23.0
Washington,352.0
Wisconsin,97.0
West Virginia,13.0
Wyoming,8.0
Total,7047.0
