state,count
Alaska,9.0
Alabama,25.0
Arkansas,13.0
Arizona,150.0
California,751.0
Colorado,133.0
Connecticut,60.0
District of Columbia,527.0
Delaware,10.0
Florida,237.0
Georgia,83.0
Guam,1.0
Hawaii,52.0
Iowa,112.0
Idaho,24.0
Illinois,336.0
Indiana,87.0
Kansas,16.0
Kentucky,69.0
Louisiana,44.0
Massachusetts,554.0
Maryland,141.0
Maine,32.0
Michigan,248.0
Minnesota,251.0
Missouri,130.0
Northern Marina Islands,
Mississippi,5.0
Montana,16.0
North Carolina,120.0
North Dakota,9.0
Nebraska,34.0
New Hampshire,31.0
New Jersey,266.0
New Mexico,14.0
Nevada,29.0
New York,2718.0
Ohio,219.0
Oklahoma,41.0
Oregon,92.0
Pennsylvania,542.0
Puerto Rico,27.0
Rhode Island,21.0
South Carolina,44.0
South Dakota,16.0
Tennessee,74.0
Texas,303.0
Utah,17.0
Virginia,98.0
US Virgin Islands,0.0
Vermont,43.0
Washington,279.0
Wisconsin,188.0
West Virginia,19.0
Wyoming,12.0
Total,9372.0
