state,count
Alaska,4.0
Alabama,216.0
Arkansas,149.0
Arizona,149.0
California,4450.0
Colorado,841.0
Connecticut,6.0
District of Columbia,0.0
Delaware,0.0
Florida,2801.0
Georgia,886.0
Guam,764.0
Hawaii,1000.0
Iowa,0.0
Idaho,340.0
Illinois,94.0
Indiana,25.0
Kansas,10.0
Kentucky,157.0
Louisiana,34.0
Massachusetts,16.0
Maryland,296.0
Maine,14.0
Michigan,130.0
Minnesota,122.0
Missouri,236.0
Northern Marina Islands,
Mississippi,106.0
Montana,229.0
North Carolina,595.0
North Dakota,63.0
Nebraska,0.0
New Hampshire,11.0
New Jersey,81.0
New Mexico,25.0
Nevada,11.0
New York,69.0
Ohio,82.0
Oklahoma,143.0
Oregon,2281.0
Pennsylvania,156.0
Puerto Rico,197.0
Rhode Island,0.0
South Carolina,272.0
South Dakota,83.0
Tennessee,556.0
Texas,264.0
Utah,20.0
Virginia,52.0
US Virgin Islands,0.0
Vermont,17.0
Washington,955.0
Wisconsin,19.0
West Virginia,0.0
Wyoming,126.0
Total,19153.0
