state,count
Alaska,41.0
Alabama,19.0
Arkansas,23.0
Arizona,89.0
California,1492.0
Colorado,138.0
Connecticut,33.0
District of Columbia,411.0
Delaware,4.0
Florida,664.0
Georgia,65.0
Guam,44.0
Hawaii,212.0
Iowa,29.0
Idaho,45.0
Illinois,120.0
Indiana,51.0
Kansas,89.0
Kentucky,22.0
Louisiana,9.0
Massachusetts,676.0
Maryland,84.0
Maine,12.0
Michigan,65.0
Minnesota,93.0
Missouri,204.0
Northern Marina Islands,0.0
Mississippi,11.0
Montana,16.0
North Carolina,81.0
North Dakota,8.0
Nebraska,14.0
New Hampshire,37.0
New Jersey,114.0
New Mexico,102.0
Nevada,10.0
New York,1491.0
Ohio,47.0
Oklahoma,82.0
Oregon,267.0
Pennsylvania,66.0
Puerto Rico,13.0
Rhode Island,0.0
South Carolina,32.0
South Dakota,43.0
Tennessee,189.0
Texas,214.0
Utah,22.0
Virginia,32.0
US Virgin Islands,0.0
Vermont,16.0
Washington,582.0
Wisconsin,92.0
West Virginia,18.0
Wyoming,54.0
Total,8387.0
