state,count
Alaska,12.0
Alabama,20.0
Arkansas,2.0
Arizona,44.0
California,398.0
Colorado,57.0
Connecticut,20.0
District of Columbia,70.0
Delaware,12.0
Florida,110.0
Georgia,39.0
Guam,0.0
Hawaii,47.0
Iowa,56.0
Idaho,6.0
Illinois,214.0
Indiana,32.0
Kansas,16.0
Kentucky,27.0
Louisiana,9.0
Massachusetts,74.0
Maryland,49.0
Maine,11.0
Michigan,95.0
Minnesota,208.0
Missouri,90.0
Northern Marina Islands,0.0
Mississippi,1.0
Montana,11.0
North Carolina,25.0
North Dakota,7.0
Nebraska,44.0
New Hampshire,21.0
New Jersey,77.0
New Mexico,7.0
Nevada,9.0
New York,162.0
Ohio,69.0
Oklahoma,6.0
Oregon,61.0
Pennsylvania,274.0
Puerto Rico,8.0
Rhode Island,4.0
South Carolina,20.0
South Dakota,3.0
Tennessee,7.0
Texas,172.0
Utah,4.0
Virginia,20.0
US Virgin Islands,0.0
Vermont,6.0
Washington,146.0
Wisconsin,74.0
West Virginia,2.0
Wyoming,9.0
Total,2967.0
