state,count
Alaska,25.0
Alabama,67.0
Arkansas,45.0
Arizona,372.0
California,2210.0
Colorado,371.0
Connecticut,143.0
District of Columbia,169.0
Delaware,49.0
Florida,1066.0
Georgia,289.0
Guam,0.0
Hawaii,128.0
Iowa,76.0
Idaho,86.0
Illinois,357.0
Indiana,358.0
Kansas,70.0
Kentucky,289.0
Louisiana,240.0
Massachusetts,613.0
Maryland,249.0
Maine,66.0
Michigan,441.0
Minnesota,90.0
Missouri,248.0
Northern Marina Islands,0.0
Mississippi,28.0
Montana,58.0
North Carolina,402.0
North Dakota,40.0
Nebraska,82.0
New Hampshire,84.0
New Jersey,330.0
New Mexico,70.0
Nevada,326.0
New York,524.0
Ohio,456.0
Oklahoma,79.0
Oregon,309.0
Pennsylvania,587.0
Puerto Rico,25.0
Rhode Island,61.0
South Carolina,212.0
South Dakota,75.0
Tennessee,324.0
Texas,562.0
Utah,120.0
Virginia,116.0
US Virgin Islands,3.0
Vermont,67.0
Washington,546.0
Wisconsin,212.0
West Virginia,46.0
Wyoming,15.0
Total,13876.0
