state,count
Alaska,127.0
Alabama,148.0
Arkansas,72.0
Arizona,300.0
California,2511.0
Colorado,405.0
Connecticut,95.0
District of Columbia,189.0
Delaware,41.0
Florida,793.0
Georgia,304.0
Guam,0.0
Hawaii,54.0
Iowa,124.0
Idaho,82.0
Illinois,546.0
Indiana,223.0
Kansas,73.0
Kentucky,180.0
Louisiana,141.0
Massachusetts,353.0
Maryland,172.0
Maine,127.0
Michigan,463.0
Minnesota,610.0
Missouri,364.0
Northern Marina Islands,0.0
Mississippi,19.0
Montana,57.0
North Carolina,254.0
North Dakota,49.0
Nebraska,140.0
New Hampshire,62.0
New Jersey,380.0
New Mexico,61.0
Nevada,212.0
New York,2440.0
Ohio,521.0
Oklahoma,226.0
Oregon,411.0
Pennsylvania,561.0
Puerto Rico,44.0
Rhode Island,40.0
South Carolina,102.0
South Dakota,35.0
Tennessee,259.0
Texas,659.0
Utah,117.0
Virginia,232.0
US Virgin Islands,3.0
Vermont,82.0
Washington,643.0
Wisconsin,215.0
West Virginia,62.0
Wyoming,37.0
Total,16420.0
