state,count
Alaska,15.0
Alabama,34.0
Arkansas,15.0
Arizona,45.0
California,198.0
Colorado,23.0
Connecticut,11.0
District of Columbia,5.0
Delaware,2.0
Florida,282.0
Georgia,24.0
Guam,0.0
Hawaii,2.0
Iowa,12.0
Idaho,7.0
Illinois,46.0
Indiana,29.0
Kansas,6.0
Kentucky,14.0
Louisiana,45.0
Massachusetts,54.0
Maryland,7.0
Maine,16.0
Michigan,76.0
Minnesota,129.0
Missouri,91.0
Northern Marina Islands,0.0
Mississippi,21.0
Montana,9.0
North Carolina,66.0
North Dakota,17.0
Nebraska,11.0
New Hampshire,0.0
New Jersey,52.0
New Mexico,77.0
Nevada,23.0
New York,95.0
Ohio,63.0
Oklahoma,27.0
Oregon,96.0
Pennsylvania,47.0
Puerto Rico,2.0
Rhode Island,1.0
South Carolina,6.0
South Dakota,18.0
Tennessee,17.0
Texas,113.0
Utah,29.0
Virginia,15.0
US Virgin Islands,0.0
Vermont,1.0
Washington,90.0
Wisconsin,25.0
West Virginia,7.0
Wyoming,6.0
Total,2122.0
