state,count
Alaska,1551.0
Alabama,2656.0
Arkansas,1273.0
Arizona,5781.0
California,42636.0
Colorado,7081.0
Connecticut,2972.0
District of Columbia,6576.0
Delaware,936.0
Florida,17111.0
Georgia,6651.0
Guam,87.0
Hawaii,3420.0
Iowa,2652.0
Idaho,1398.0
Illinois,8541.0
Indiana,4869.0
Kansas,1942.0
Kentucky,3298.0
Louisiana,2330.0
Massachusetts,16574.0
Maryland,5511.0
Maine,2100.0
Michigan,8028.0
Minnesota,6560.0
Missouri,4885.0
Northern Marina Islands,24.0
Mississippi,753.0
Montana,985.0
North Carolina,6511.0
North Dakota,758.0
Nebraska,2381.0
New Hampshire,1282.0
New Jersey,7122.0
New Mexico,1686.0
Nevada,3255.0
New York,84948.0
Ohio,8786.0
Oklahoma,3084.0
Oregon,5986.0
Pennsylvania,12340.0
Puerto Rico,1013.0
Rhode Island,1111.0
South Carolina,2415.0
South Dakota,772.0
Tennessee,5544.0
Texas,15055.0
Utah,2574.0
Virginia,5059.0
US Virgin Islands,74.0
Vermont,1091.0
Washington,12521.0
Wisconsin,4687.0
West Virginia,1121.0
Wyoming,510.0
Total,360867.0
