state,count
Alaska,0.0
Alabama,3.0
Arkansas,0.0
Arizona,0.0
California,125.0
Colorado,36.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,50.0
Georgia,13.0
Guam,6.0
Hawaii,11.0
Iowa,0.0
Idaho,2.0
Illinois,14.0
Indiana,1.0
Kansas,1.0
Kentucky,6.0
Louisiana,3.0
Massachusetts,0.0
Maryland,7.0
Maine,3.0
Michigan,3.0
Minnesota,8.0
Missouri,1.0
Northern Marina Islands,0.0
Mississippi,6.0
Montana,5.0
North Carolina,14.0
North Dakota,8.0
Nebraska,0.0
New Hampshire,5.0
New Jersey,0.0
New Mexico,0.0
Nevada,6.0
New York,3.0
Ohio,6.0
Oklahoma,6.0
Oregon,32.0
Pennsylvania,3.0
Puerto Rico,8.0
Rhode Island,0.0
South Carolina,8.0
South Dakota,0.0
Tennessee,10.0
Texas,19.0
Utah,0.0
Virginia,0.0
US Virgin Islands,0.0
Vermont,6.0
Washington,16.0
Wisconsin,3.0
West Virginia,0.0
Wyoming,3.0
Total,460.0
