state,count
Alaska,0.0
Alabama,2.0
Arkansas,2.0
Arizona,10.0
California,1297.0
Colorado,22.0
Connecticut,2.0
District of Columbia,0.0
Delaware,0.0
Florida,139.0
Georgia,4.0
Guam,0.0
Hawaii,24.0
Iowa,0.0
Idaho,0.0
Illinois,3.0
Indiana,1.0
Kansas,0.0
Kentucky,4.0
Louisiana,1.0
Massachusetts,3.0
Maryland,4.0
Maine,12.0
Michigan,4.0
Minnesota,7.0
Missouri,10.0
Northern Marina Islands,0.0
Mississippi,0.0
Montana,5.0
North Carolina,2.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,0.0
New Jersey,1.0
New Mexico,1.0
Nevada,239.0
New York,6.0
Ohio,1.0
Oklahoma,18.0
Oregon,419.0
Pennsylvania,13.0
Puerto Rico,1.0
Rhode Island,0.0
South Carolina,2.0
South Dakota,1.0
Tennessee,6.0
Texas,16.0
Utah,0.0
Virginia,0.0
US Virgin Islands,0.0
Vermont,1.0
Washington,214.0
Wisconsin,3.0
West Virginia,0.0
Wyoming,13.0
Total,2513.0
