state,count
Alaska,26.0
Alabama,27.0
Arkansas,8.0
Arizona,64.0
California,1082.0
Colorado,135.0
Connecticut,73.0
District of Columbia,232.0
Delaware,14.0
Florida,301.0
Georgia,123.0
Guam,6.0
Hawaii,67.0
Iowa,60.0
Idaho,21.0
Illinois,264.0
Indiana,68.0
Kansas,24.0
Kentucky,36.0
Louisiana,28.0
Massachusetts,615.0
Maryland,94.0
Maine,21.0
Michigan,198.0
Minnesota,201.0
Missouri,127.0
Northern Marina Islands,0.0
Mississippi,19.0
Montana,24.0
North Carolina,113.0
North Dakota,7.0
Nebraska,36.0
New Hampshire,32.0
New Jersey,240.0
New Mexico,13.0
Nevada,35.0
New York,2744.0
Ohio,191.0
Oklahoma,44.0
Oregon,105.0
Pennsylvania,359.0
Puerto Rico,13.0
Rhode Island,16.0
South Carolina,34.0
South Dakota,12.0
Tennessee,61.0
Texas,231.0
Utah,38.0
Virginia,93.0
US Virgin Islands,0.0
Vermont,33.0
Washington,203.0
Wisconsin,102.0
West Virginia,3.0
Wyoming,8.0
Total,8724.0
