state,count
Alaska,163.0
Alabama,158.0
Arkansas,240.0
Arizona,638.0
California,12396.0
Colorado,593.0
Connecticut,187.0
District of Columbia,318.0
Delaware,53.0
Florida,1892.0
Georgia,494.0
Guam,7.0
Hawaii,189.0
Iowa,209.0
Idaho,115.0
Illinois,684.0
Indiana,268.0
Kansas,133.0
Kentucky,193.0
Louisiana,214.0
Massachusetts,465.0
Maryland,267.0
Maine,152.0
Michigan,604.0
Minnesota,709.0
Missouri,534.0
Northern Marina Islands,2.0
Mississippi,87.0
Montana,119.0
North Carolina,478.0
North Dakota,65.0
Nebraska,157.0
New Hampshire,81.0
New Jersey,518.0
New Mexico,182.0
Nevada,1404.0
New York,2941.0
Ohio,686.0
Oklahoma,313.0
Oregon,1309.0
Pennsylvania,684.0
Puerto Rico,104.0
Rhode Island,39.0
South Carolina,237.0
South Dakota,61.0
Tennessee,485.0
Texas,1379.0
Utah,191.0
Virginia,286.0
US Virgin Islands,4.0
Vermont,101.0
Washington,2184.0
Wisconsin,246.0
West Virginia,61.0
Wyoming,82.0
Total,36361.0
