state,count
Alaska,8.0
Alabama,44.0
Arkansas,43.0
Arizona,48.0
California,1426.0
Colorado,22.0
Connecticut,7.0
District of Columbia,9.0
Delaware,1.0
Florida,441.0
Georgia,29.0
Guam,2.0
Hawaii,11.0
Iowa,12.0
Idaho,11.0
Illinois,48.0
Indiana,21.0
Kansas,8.0
Kentucky,19.0
Louisiana,28.0
Massachusetts,3.0
Maryland,9.0
Maine,13.0
Michigan,96.0
Minnesota,96.0
Missouri,99.0
Northern Marina Islands,0.0
Mississippi,8.0
Montana,8.0
North Carolina,43.0
North Dakota,9.0
Nebraska,14.0
New Hampshire,0.0
New Jersey,35.0
New Mexico,73.0
Nevada,228.0
New York,122.0
Ohio,51.0
Oklahoma,35.0
Oregon,317.0
Pennsylvania,50.0
Puerto Rico,5.0
Rhode Island,0.0
South Carolina,12.0
South Dakota,4.0
Tennessee,49.0
Texas,119.0
Utah,18.0
Virginia,12.0
US Virgin Islands,0.0
Vermont,6.0
Washington,273.0
Wisconsin,22.0
West Virginia,10.0
Wyoming,16.0
Total,4093.0
