state,count
Alaska,32.0
Alabama,64.0
Arkansas,0.0
Arizona,25.0
California,793.0
Colorado,61.0
Connecticut,43.0
District of Columbia,195.0
Delaware,27.0
Florida,211.0
Georgia,86.0
Guam,0.0
Hawaii,56.0
Iowa,55.0
Idaho,28.0
Illinois,143.0
Indiana,21.0
Kansas,22.0
Kentucky,17.0
Louisiana,9.0
Massachusetts,749.0
Maryland,112.0
Maine,17.0
Michigan,94.0
Minnesota,81.0
Missouri,201.0
Northern Marina Islands,0.0
Mississippi,20.0
Montana,15.0
North Carolina,57.0
North Dakota,7.0
Nebraska,73.0
New Hampshire,13.0
New Jersey,74.0
New Mexico,53.0
Nevada,11.0
New York,1364.0
Ohio,30.0
Oklahoma,73.0
Oregon,98.0
Pennsylvania,86.0
Puerto Rico,4.0
Rhode Island,31.0
South Carolina,8.0
South Dakota,67.0
Tennessee,50.0
Texas,135.0
Utah,8.0
Virginia,85.0
US Virgin Islands,0.0
Vermont,18.0
Washington,218.0
Wisconsin,81.0
West Virginia,0.0
Wyoming,0.0
Total,5821.0
