state,count
Alaska,14.0
Alabama,16.0
Arkansas,7.0
Arizona,28.0
California,631.0
Colorado,30.0
Connecticut,49.0
District of Columbia,265.0
Delaware,9.0
Florida,268.0
Georgia,114.0
Guam,1.0
Hawaii,20.0
Iowa,30.0
Idaho,15.0
Illinois,175.0
Indiana,70.0
Kansas,23.0
Kentucky,32.0
Louisiana,29.0
Massachusetts,805.0
Maryland,56.0
Maine,9.0
Michigan,163.0
Minnesota,53.0
Missouri,73.0
Northern Marina Islands,0.0
Mississippi,13.0
Montana,29.0
North Carolina,98.0
North Dakota,10.0
Nebraska,15.0
New Hampshire,13.0
New Jersey,219.0
New Mexico,8.0
Nevada,28.0
New York,3158.0
Ohio,173.0
Oklahoma,16.0
Oregon,27.0
Pennsylvania,272.0
Puerto Rico,3.0
Rhode Island,6.0
South Carolina,19.0
South Dakota,7.0
Tennessee,44.0
Texas,204.0
Utah,44.0
Virginia,97.0
US Virgin Islands,0.0
Vermont,30.0
Washington,92.0
Wisconsin,62.0
West Virginia,6.0
Wyoming,1.0
Total,7679.0
