state,count
Alaska,86.0
Alabama,67.0
Arkansas,51.0
Arizona,216.0
California,1084.0
Colorado,217.0
Connecticut,94.0
District of Columbia,135.0
Delaware,26.0
Florida,628.0
Georgia,180.0
Guam,2.0
Hawaii,30.0
Iowa,135.0
Idaho,52.0
Illinois,392.0
Indiana,166.0
Kansas,86.0
Kentucky,123.0
Louisiana,118.0
Massachusetts,262.0
Maryland,130.0
Maine,60.0
Michigan,352.0
Minnesota,246.0
Missouri,193.0
Northern Marina Islands,2.0
Mississippi,31.0
Montana,69.0
North Carolina,269.0
North Dakota,13.0
Nebraska,94.0
New Hampshire,35.0
New Jersey,302.0
New Mexico,96.0
Nevada,92.0
New York,2089.0
Ohio,442.0
Oklahoma,147.0
Oregon,286.0
Pennsylvania,384.0
Puerto Rico,8.0
Rhode Island,32.0
South Carolina,104.0
South Dakota,30.0
Tennessee,174.0
Texas,557.0
Utah,123.0
Virginia,199.0
US Virgin Islands,2.0
Vermont,60.0
Washington,453.0
Wisconsin,157.0
West Virginia,44.0
Wyoming,32.0
Total,11457.0
