state,count
Alaska,64.0
Alabama,38.0
Arkansas,71.0
Arizona,181.0
California,1391.0
Colorado,57.0
Connecticut,24.0
District of Columbia,149.0
Delaware,19.0
Florida,389.0
Georgia,117.0
Guam,3.0
Hawaii,20.0
Iowa,52.0
Idaho,3.0
Illinois,211.0
Indiana,57.0
Kansas,27.0
Kentucky,18.0
Louisiana,54.0
Massachusetts,111.0
Maryland,44.0
Maine,83.0
Michigan,179.0
Minnesota,315.0
Missouri,237.0
Northern Marina Islands,0.0
Mississippi,4.0
Montana,23.0
North Carolina,65.0
North Dakota,45.0
Nebraska,50.0
New Hampshire,25.0
New Jersey,137.0
New Mexico,43.0
Nevada,132.0
New York,590.0
Ohio,151.0
Oklahoma,78.0
Oregon,203.0
Pennsylvania,134.0
Puerto Rico,7.0
Rhode Island,6.0
South Carolina,66.0
South Dakota,12.0
Tennessee,104.0
Texas,197.0
Utah,34.0
Virginia,37.0
US Virgin Islands,0.0
Vermont,33.0
Washington,310.0
Wisconsin,53.0
West Virginia,8.0
Wyoming,36.0
Total,6497.0
