state,count
Alaska,0.0
Alabama,18.0
Arkansas,27.0
Arizona,19.0
California,48.0
Colorado,1.0
Connecticut,0.0
District of Columbia,3.0
Delaware,1.0
Florida,88.0
Georgia,3.0
Guam,0.0
Hawaii,0.0
Iowa,7.0
Idaho,0.0
Illinois,9.0
Indiana,3.0
Kansas,5.0
Kentucky,0.0
Louisiana,6.0
Massachusetts,0.0
Maryland,0.0
Maine,6.0
Michigan,21.0
Minnesota,27.0
Missouri,32.0
Northern Marina Islands,0.0
Mississippi,0.0
Montana,3.0
North Carolina,14.0
North Dakota,4.0
Nebraska,6.0
New Hampshire,0.0
New Jersey,11.0
New Mexico,11.0
Nevada,11.0
New York,36.0
Ohio,6.0
Oklahoma,0.0
Oregon,26.0
Pennsylvania,2.0
Puerto Rico,0.0
Rhode Island,0.0
South Carolina,4.0
South Dakota,2.0
Tennessee,16.0
Texas,3.0
Utah,0.0
Virginia,0.0
US Virgin Islands,0.0
Vermont,3.0
Washington,33.0
Wisconsin,1.0
West Virginia,5.0
Wyoming,6.0
Total,527.0
