state,count
Alaska,23.0
Alabama,19.0
Arkansas,7.0
Arizona,54.0
California,956.0
Colorado,99.0
Connecticut,73.0
District of Columbia,232.0
Delaware,13.0
Florida,248.0
Georgia,110.0
Guam,2.0
Hawaii,45.0
Iowa,58.0
Idaho,13.0
Illinois,256.0
Indiana,67.0
Kansas,24.0
Kentucky,35.0
Louisiana,28.0
Massachusetts,595.0
Maryland,87.0
Maine,20.0
Michigan,192.0
Minnesota,186.0
Missouri,121.0
Northern Marina Islands,0.0
Mississippi,16.0
Montana,22.0
North Carolina,86.0
North Dakota,5.0
Nebraska,36.0
New Hampshire,32.0
New Jersey,238.0
New Mexico,13.0
Nevada,30.0
New York,2729.0
Ohio,185.0
Oklahoma,33.0
Oregon,70.0
Pennsylvania,358.0
Puerto Rico,5.0
Rhode Island,16.0
South Carolina,21.0
South Dakota,8.0
Tennessee,39.0
Texas,218.0
Utah,37.0
Virginia,91.0
US Virgin Islands,0.0
Vermont,33.0
Washington,178.0
Wisconsin,99.0
West Virginia,3.0
Wyoming,8.0
Total,8172.0
