state,count
Alaska,261.0
Alabama,877.0
Arkansas,1199.0
Arizona,3905.0
California,85373.0
Colorado,3305.0
Connecticut,581.0
District of Columbia,600.0
Delaware,93.0
Florida,10757.0
Georgia,3386.0
Guam,187.0
Hawaii,2916.0
Iowa,220.0
Idaho,525.0
Illinois,1876.0
Indiana,571.0
Kansas,346.0
Kentucky,779.0
Louisiana,1038.0
Massachusetts,983.0
Maryland,1532.0
Maine,91.0
Michigan,819.0
Minnesota,974.0
Missouri,1142.0
Northern Marina Islands,335.0
Mississippi,563.0
Montana,301.0
North Carolina,1930.0
North Dakota,48.0
Nebraska,137.0
New Hampshire,142.0
New Jersey,1578.0
New Mexico,718.0
Nevada,4185.0
New York,4265.0
Ohio,1196.0
Oklahoma,975.0
Oregon,7112.0
Pennsylvania,1714.0
Puerto Rico,2341.0
Rhode Island,49.0
South Carolina,1114.0
South Dakota,238.0
Tennessee,2286.0
Texas,10282.0
Utah,418.0
Virginia,862.0
US Virgin Islands,307.0
Vermont,69.0
Washington,9905.0
Wisconsin,357.0
West Virginia,179.0
Wyoming,135.0
Total,178077.0
