state,count
Alaska,13.0
Alabama,45.0
Arkansas,118.0
Arizona,241.0
California,9920.0
Colorado,319.0
Connecticut,69.0
District of Columbia,34.0
Delaware,8.0
Florida,872.0
Georgia,197.0
Guam,2.0
Hawaii,139.0
Iowa,22.0
Idaho,60.0
Illinois,75.0
Indiana,45.0
Kansas,20.0
Kentucky,52.0
Louisiana,42.0
Massachusetts,92.0
Maryland,92.0
Maine,9.0
Michigan,70.0
Minnesota,148.0
Missouri,104.0
Northern Marina Islands,0.0
Mississippi,52.0
Montana,27.0
North Carolina,144.0
North Dakota,7.0
Nebraska,13.0
New Hampshire,21.0
New Jersey,79.0
New Mexico,43.0
Nevada,1177.0
New York,261.0
Ohio,93.0
Oklahoma,87.0
Oregon,819.0
Pennsylvania,143.0
Puerto Rico,89.0
Rhode Island,1.0
South Carolina,67.0
South Dakota,19.0
Tennessee,207.0
Texas,625.0
Utah,34.0
Virginia,49.0
US Virgin Islands,2.0
Vermont,8.0
Washington,1421.0
Wisconsin,31.0
West Virginia,9.0
Wyoming,14.0
Total,18350.0
